Algorisme,Dataset,Accuracy,Precision,F1-Score
KNN,images,0.305,0.46775379239623427,0.28697851361533666
SVM,images,0.265,0.2169221857815608,0.19359041922513895
Decision Tree,images,0.31,0.306855786681558,0.2988763107377659
Random Forest,images,0.505,0.5259340262420757,0.5013636517568714
Logistic Regression,images,0.51,0.5009298201798201,0.49656880653632124
Gaussian NB,images,0.315,0.2838867970265029,0.28465910451941906
Bernoulli NB,images,0.265,0.23438473514789304,0.21887130557295376
Multinomial NB,images,0.335,0.33547435917001134,0.3054210130742536
